entropy,gray level threshold,no of black pixels,no of interior contours,no of exterior contours,no vertical slope components,no horizontal slope components,no positive slope components,no negative slope components,slant,height,class
0.048559,2.0,331322.0,10462.0,6073.0,0.014809,0.018597,0.015105,0.018301,0.002543,0.0,1
0.049237,2.0,155132.0,6855.0,6249.0,0.010646,0.014904,0.010821,0.014729,0.008486,0.0,1
0.023895,2.0,208623.0,5480.0,319.0,0.005332,0.009618,0.008464,0.006485,0.002692,0.0,1
0.023217,2.0,384813.0,1873.0,495.0,0.001169,0.005925,0.00418,0.002913,0.003251,0.0,1
0.072454,4.0,539945.0,4982.0,5754.0,0.009477,0.008979,0.006641,0.011816,0.005235,0.0,0
