646.966807009,616.92
647.184775906,616.34
647.810737217,606.81
649.816720369,611.93
649.859009731,605.94
649.883412996,610.49
649.907310495,611.96
649.903786108,611.96
649.918392619,614.3
649.915865567,614.53
649.921591197,614.12
649.914977378,615.93
649.922851693,615.93
649.909937808,620.73
649.907360166,621.32
649.800332887,617.7
649.650587372,616.71
649.485468736,618.46
648.529250065,609.45
649.776786384,598.48
649.91217006,602.69
649.912996377,601.81
649.91232729,599.82
649.922383852,608.44
649.925803305,606.37
649.927140142,608.24
649.928860398,611.83
649.928344911,613.4
649.927509073,612.79
649.928632342,619.96
649.926871717,617.03
649.921652882,621.62
649.915436469,624.22
648.653618577,630.15
610.194937125,636.02
607.710143827,638.46
607.988984774,635.84
608.078346701,641.43
608.504872741,646.33
609.489687192,649.93
