649.929984369,616.92
649.929987944,616.34
649.929995935,606.81
649.929999933,611.93
649.929999875,605.94
649.929999926,610.49
649.929999996,611.96
649.929999991,611.96
649.93,614.3
649.929999999,614.53
649.93,614.12
649.929999999,615.93
649.93,615.93
649.929999997,620.73
649.929999999,621.32
649.929999978,617.7
649.929999974,616.71
649.929999981,618.46
649.929999458,609.45
649.929999796,598.48
649.929999999,602.69
649.929999999,601.81
649.929999998,599.82
649.93,608.44
649.93,606.37
649.93,608.24
649.93,611.83
649.93,613.4
649.93,612.79
649.93,619.96
649.93,617.03
649.93,621.62
649.93,624.22
649.929995007,630.15
608.400552337,636.02
608.407199344,638.46
608.409179662,635.84
607.791366242,641.43
608.107678,646.33
609.94698548,649.93
